,function_name,solver_name,seed,experiment_id,max_steps
0,ranolazine_mpo,directed_evolution,1,e3e90000-2958-4cf3-9888-66bfcd18817b,309
1,ranolazine_mpo,directed_evolution,2,322b7ab2-0bb2-40ec-a34b-5d009c69b7f0,309
2,ranolazine_mpo,directed_evolution,3,7e230565-7725-4007-846b-038684a68006,309
3,ranolazine_mpo,directed_evolution,4,59f6a0e7-fb84-4079-838e-7aa303f4d5f0,309
4,ranolazine_mpo,directed_evolution,5,5f238a2c-2cbd-455d-aaf6-b356cb3d9e87,309
0,ranolazine_mpo,hill_climbing,1,41f71bcd-07df-4948-8ce4-15986f25e87c,309
1,ranolazine_mpo,hill_climbing,2,7e0e2316-68ae-4e6c-af39-623c5e347326,309
2,ranolazine_mpo,hill_climbing,3,dca561e1-29f8-44c5-9041-6914f4c0bcf3,309
3,ranolazine_mpo,hill_climbing,4,8db71744-e5c0-423e-b14c-6460193d61ed,309
4,ranolazine_mpo,hill_climbing,5,163214fb-5e1e-4a56-8562-477cf36dcad6,309
0,ranolazine_mpo,genetic_algorithm,1,593a2c5a-c2ef-4b36-b8c8-2d952a1720d6,309
1,ranolazine_mpo,genetic_algorithm,2,6ddf0075-c14f-4135-af3a-2e3ee5902def,309
2,ranolazine_mpo,genetic_algorithm,3,313b04d0-e65a-4f33-9099-6f438a4b436c,309
3,ranolazine_mpo,genetic_algorithm,4,7d8f9f7b-b34e-4bd8-9254-256668fb4d33,309
4,ranolazine_mpo,genetic_algorithm,5,35560d73-ae96-4a5e-8d7d-379401cd89fe,309
0,ranolazine_mpo,cma_es,1,490b4355-c4cd-45fd-ae65-6c2220d6b042,309
1,ranolazine_mpo,cma_es,2,ac0d6cee-8ee2-4a41-89c7-6d234f9a5e23,309
2,ranolazine_mpo,cma_es,3,8583fd91-54e2-49ba-976e-7ea86a7a0cd2,309
3,ranolazine_mpo,cma_es,4,6d0b8b72-618b-4f29-b9fc-17886df51aa5,309
4,ranolazine_mpo,cma_es,5,75732fe6-ab24-4d87-bd1e-4e753bda6bcd,309
0,ranolazine_mpo,random_line_bo,1,7c21b063-06bc-4901-a8b0-ea98690e4261,309
1,ranolazine_mpo,random_line_bo,2,02d0fe51-24b2-463a-bf0c-50400643f020,309
2,ranolazine_mpo,random_line_bo,3,505487d2-45cf-4b5d-a878-f18b4ded98d5,309
3,ranolazine_mpo,random_line_bo,4,50a4b25a-3c75-43d6-b75a-203389b3b85b,309
4,ranolazine_mpo,random_line_bo,5,87b33771-912c-424d-bebd-0e3316667d6c,309
0,ranolazine_mpo,coordinate_line_bo,1,adba8cc5-8033-4a6a-984a-ac0f3929dbe6,309
1,ranolazine_mpo,coordinate_line_bo,2,442953de-4a99-496d-87ec-1553b1deb695,309
2,ranolazine_mpo,coordinate_line_bo,3,197092a4-eb82-4a55-b30f-7fb7e0ec2992,309
3,ranolazine_mpo,coordinate_line_bo,4,39f2e488-de3a-4f68-a79d-b8e8c50977a2,309
4,ranolazine_mpo,coordinate_line_bo,5,b1f47b59-3a6f-4ee3-b3e1-0e10811ce09a,309
0,ranolazine_mpo,turbo,1,94bd8d70-c8c0-4296-b12e-2d928adf50ad,309
1,ranolazine_mpo,turbo,2,772cb0c1-c944-49fb-bb33-d113462ece35,309
2,ranolazine_mpo,turbo,3,83d7f671-2288-4237-8352-584ef4f51d2e,309
3,ranolazine_mpo,turbo,4,e39836d0-337d-407a-a2c5-6c92e6b6cfba,309
4,ranolazine_mpo,turbo,5,fd5cb96a-3d64-4b2f-8bc8-981e257e65a7,309
0,ranolazine_mpo,vanilla_bo_hvarfner,1,41a7eab6-bde0-4af7-8bd1-f5981c39ee2f,12
1,ranolazine_mpo,vanilla_bo_hvarfner,2,2861b48b-2280-4b3f-8fb2-55f8d94b1360,12
2,ranolazine_mpo,vanilla_bo_hvarfner,3,1549c920-c843-4dd6-9969-7d7573d56a0d,12
3,ranolazine_mpo,vanilla_bo_hvarfner,4,484cac18-4fc6-4339-b756-136f9b4e54e3,12
4,ranolazine_mpo,vanilla_bo_hvarfner,5,1d3f2b62-ed07-4476-8da0-eba1113b1a67,12
0,ranolazine_mpo,pr,1,278c222e-72e6-4faf-b9b6-be03dbd9c9c7,12
1,ranolazine_mpo,pr,2,0aa57a11-5ac8-40c8-9799-a8538a924e3a,12
2,ranolazine_mpo,pr,3,f024118e-1bd6-4d32-a93b-71f5487118ad,12
3,ranolazine_mpo,pr,4,3e2882f1-2f56-4121-b424-0ff0b9a706f0,12
4,ranolazine_mpo,pr,5,6391b0a0-eb50-464c-aba1-5b5ee4aaa69a,12
0,ranolazine_mpo,saas_bo,1,2211b780-a6d0-4e8f-8e99-b56bdcec367e,12
1,ranolazine_mpo,saas_bo,2,1e0e5a5b-b554-4bcc-86d7-f0f570fbd2f8,12
2,ranolazine_mpo,saas_bo,3,2941d310-2fff-4429-ac80-cf83e01e005f,12
3,ranolazine_mpo,saas_bo,4,3deb53e8-d31b-48f4-bb58-b861fa86b5a8,12
4,ranolazine_mpo,saas_bo,5,02c56ffe-1c34-4389-909a-c53e08eb7cfa,12
0,rdkit_logp,directed_evolution,1,5d5df63b-76f1-4dc9-abb6-9a9382c3bc3a,309
1,rdkit_logp,directed_evolution,2,4b37a167-03b5-4106-92db-4b72f379025f,309
2,rdkit_logp,directed_evolution,3,40db6740-c790-47f4-ac83-b00491ed8e42,309
3,rdkit_logp,directed_evolution,4,60a389e6-626c-41c5-8bed-6ddbe852e74e,309
4,rdkit_logp,directed_evolution,5,6bdbf195-4fce-43dc-a58a-fff653a1bb71,309
0,rdkit_logp,hill_climbing,1,33f41c0e-e5ac-4721-9eb6-e1c7a3222b9b,309
1,rdkit_logp,hill_climbing,2,949f90ca-cea1-4a14-95d2-919f5cfd6571,309
2,rdkit_logp,hill_climbing,3,8e254dce-cfaa-4bcc-8e32-0510704bbe8f,309
3,rdkit_logp,hill_climbing,4,49fb493d-0ffd-4597-8f3c-949635fd038f,309
4,rdkit_logp,hill_climbing,5,cde98176-a9ed-4bbc-921b-efd645a1db12,309
0,rdkit_logp,genetic_algorithm,1,ea870e8e-c7e2-438e-a691-c9492b29829c,309
1,rdkit_logp,genetic_algorithm,2,2fe6fd43-49bc-4da2-8084-1bfd6c51d141,309
